index,age,elimination,first_name,hometown,name,name_abbreviation,occupation,season
12,30,4,Corey,"New York, New York",Corey Stansell (NY) ,Corey S.,Investment Banker,11
13,33,4,Jonathan,"Sylvan Lake, Michigan",Jonathan Holloway ,Jonathan H.,Automotive Spokesman,11
14,32,4,Ryan,"Wellington, Florida",Ryan Beckett ,Ryan B.,Realtor,11
15,27,3,Clint,"Batavia, Illinois",Clint Arlis   ,Clint A.,Architectural Engineer,11
16,35,3,Tony,"St. Louis, Missouri",Tony Harris  ,Tony H.,Healer,11
17,35,2,Cory,"Seven Springs, North Carolina",Cory Shivar (NC)  ,Cory S.,Residential Developer,11
18,28,2,Daniel,"Nashville, Tennessee",Daniel Finney ,Daniel F.,Fashion Designer,11
19,32,2,Kupah,"Boston, Massachusetts",Kupah James ,Kupah J.,Entrepreneur,11
20,25,1,Bradley,"Duluth, Georgia",Bradley Cox ,Bradley C.,International Auto Shipper,11
21,28,1,David,"Orlando, Florida",David,David,Real Estate Agent,11
22,27,1,Josh,"Chicago, Illinois",Josh Seiter  ,Josh S.,Law Student/Exotic Dancer,11
23,31,1,Shawn,"London, Ontario",Shawn Evans ,Shawn E.,Amateur Sex Coach,11
24,33,1,Brady,"Wauseon, Ohio",Brady Toops ,Brady T.,Singer/Songwriter,11
25,28,1,Ryan,"Kansas City, Missouri",Ryan McDill  ,Ryan M.,Junkyard Specialist,11
0,27,,Chase,"Castle Rock, Colorado",Chase McNary ,Chase M.,Medical Sales Rep,12
1,27,,Jordan,"Chico, California",Jordan Rodgers  ,Jordan R.,Former Pro Quarterback,12
2,31,,Luke,"Burnet, Texas",Luke Pell ,Luke P.,War Veteran,12
3,27,,Robby,"St. Augustine, Florida",Robby Hayes ,Robby H.,Former Competitive Swimmer,12
4,29,7,James,"Katy, Texas",James Taylor ,James T.,Singer-Songwriter,12
5,25,7,Alex,"Oceanside, California",Alex Wotykiw ,Alex W.,U.S. Marine,12
6,29,6,Derek,"Waverly, Iowa",Derek Peth ,Derek P.,Commercial Banker,12
7,31,6,Wells,"Monterey, California",Wells Adams   ,Wells A.,Radio DJ,12
8,33,5,Evan,"Hartford, Connecticut",Evan Bass  ,Evan B.,Erectile Dysfunction Specialist,12
9,27,5,Grant,"San Francisco, California",Grant Kemp ,Grant K.,Firefighter,12
10,28,5,Vincent,"Kings Park, New York","Vincent ""Vinny"" Ventiera ",Vincent V.,Barber,12
11,31,4,Daniel,"Vancouver, British Columbia",Daniel Maguire ,Daniel M.,Canadian,12
12,34,4,James,"Franklin, Tennessee",James Fuertes ,James F.,Boxing Club Owner,12
13,28,4,Chad,"Jenks, Oklahoma",Chad Johnson  ,Chad J.,Luxury Real Estate Agent,12
14,27,3,Ali,"Santa Monica, California",Ali Zahiri ,Ali Z.,Bartender,12
15,26,3,Christian,"Los Angeles, California",Christian Bishop  ,Christian B.,Telecom Consultant,12
16,33,3,Nick,"Carthage, Illinois",Nick Benvenutti  ,Nick B.,Electrical Engineer,12
17,28,2,Brandon,"Marysville, Washington",Brandon Howell ,Brandon H.,Hipster,12
18,27,2,James,"Phoenix, Arizona",James Spadafore ,James S.,Bachelor Superfan,12
19,26,2,Will,"Jersey City, New Jersey",Will Haduch ,Will H.,Civil Engineer,12
20,27,1,Coley,"Chicago, Illinois",Coley Knust ,Coley K.,Real Estate Consultant,12
21,26,1,Jake,"Playa Vista, California",Jake Patton ,Jake P.,Landscape Architect,12
22,29,1,Jonathan,"Vancouver, British Columbia",Jonathan Hamilton ,Jonathan H.,Technical Sales Rep,12
23,26,1,Nick,"San Francisco, California",Nick Sharp ,Nick S.,Software Salesman,12
24,26,1,Peter,"Rockdale, Illinois",Peter Medina ,Peter M.,Staffing Agency Manager,12
25,28,1,Sal,"Hubbard, Ohio",Sal DeJulio ,Sal D.,Operations Manager,12
